read_assignment	reads_assigned	sample_ID
H3N2	10	R3QE6K.p1623
ambiguous	26	R3QE6K.p1623
H1N1	31	tb2dpf.p1623
H1N2	1	tb2dpf.p1623
H3N2	37	tb2dpf.p1623
ambiguous	2	tb2dpf.p1623
H1N1	62	TJHBC6.p1623
H3N2	28	TJHBC6.p1623
ambiguous	16	TJHBC6.p1623
ambiguous	9	TKR4YG.p1623
ambiguous	14	U699CT.p1623
H1N1	67	WC3BLF.p1623
H3N2	17	WC3BLF.p1623
ambiguous	13	WC3BLF.p1623
H1N1	11	WMBUHG.p1623
ambiguous	1	WMBUHG.p1623
H3N2	23	XKZX54.p1623
ambiguous	6	XKZX54.p1623
ambiguous	12	ZEF38J.p1623
H3N2	2	CWJ2LA.p1647
ambiguous	2	CWJ2LA.p1647
ambiguous	2	E8HPKA.p1647
ambiguous	6	F4DUP8.p1647
ambiguous	6	FSKVKF.p1647
ambiguous	4	HJMC7G.p1647
ambiguous	1	HWLNMD.p1647
ambiguous	220	Javan18L-half.p1647
ambiguous	1	KWMVUU.p1647
ambiguous	1	L7NV58.p1647
ambiguous	6	MXNCNF.p1647
ambiguous	8	NM7NUP.p1647
ambiguous	1	PAS6SY.p1647
ambiguous	3	PKA8P8.p1647
H3N2	23	PP47MD.p1647
ambiguous	9	PP47MD.p1647
ambiguous	3	QA2YH6.p1647
ambiguous	2	TK75X2.p1647
H1N1	5	TTX36V.p1647
ambiguous	1	TTX36V.p1647
ambiguous	4	TZ5FZA.p1647
ambiguous	1	UBBTLS.p1647
H1N1	6	V657CY.p1647
ambiguous	2	V657CY.p1647
H1N1	3	VQRZVF.p1647
H3N2	10	W5CQ3H.p1647
ambiguous	7	W5CQ3H.p1647
ambiguous	3	WNQLM6.p1647
H1N1	31	WXFFZX.p1647
ambiguous	13	WXFFZX.p1647
H1N1	7	XSCXG7.p1647
ambiguous	2	XSCXG7.p1647
ambiguous	1	AANMGC.p1656
ambiguous	2	AT9MEA.p1656
H1N1	25	BXHMJR.p1656
ambiguous	13	BXHMJR.p1656
H1N1	9	CKVP44.p1656
ambiguous	2	CKVP44.p1656
H3N2	4	EJHYFT.p1656
ambiguous	5	EJHYFT.p1656
H1N1	24	FDP8EJ.p1656
ambiguous	9	HQ3HYW.p1656
ambiguous	145	Javan18L-half.p1656
ambiguous	2	K8X7M5.p1656
H3N2	18	KUCM47.p1656
ambiguous	7	L4UJ4H.p1656
ambiguous	10	L5UMGZ.p1656
ambiguous	5	L89RJB.p1656
ambiguous	1	MAZ3YQ.p1656
H1N1	11	QCEFRZ.p1656
ambiguous	3	QCEFRZ.p1656
ambiguous	5	QJTNKD.p1656
ambiguous	5	QNSQQ3.p1656
H3N2	18	RUKA8Z.p1656
H3N2	17	SMDR8W.p1656
ambiguous	3	SMDR8W.p1656
ambiguous	3	SSX6HH.p1656
H1N1	25	T2VWSA.p1656
H1N1	7	TVKUVP.p1656
ambiguous	1	TVKUVP.p1656
ambiguous	1	VB53CX.p1656
ambiguous	3	VXFDSA.p1656
H3N2	1	WMM4ZE.p1656
ambiguous	6	WMM4ZE.p1656
ambiguous	5	B52AV2.p1671
ambiguous	3	B6H2RW.p1671
ambiguous	4	BGGGBM.p1671
H3N2	21	CJL3UA.p1671
H1N1	22	EMKA9J.p1671
ambiguous	1	EMKA9J.p1671
ambiguous	2	GQ4CHJ.p1671
ambiguous	59	Javan18L-half.p1671
ambiguous	7	JMZX6E.p1671
H1N1	14	KN8P3G.p1671
ambiguous	5	LKRNKJ.p1671
ambiguous	3	MBJMYL.p1671
ambiguous	6	NUGS9N.p1671
H1N1	7	U6MPMQ.p1671
H1N1	6	W7XQT4.p1671
ambiguous	6	XGYKXS.p1671
H1N1	1	Y73Z97.p1671
H1N1	20	ZNGEFP.p1671
ambiguous	7	ZNGEFP.p1671
ambiguous	5	AJ46G5.p1675
ambiguous	2	F4XEM6.p1675
H1N1	15	FG9568.p1675
ambiguous	1	FG9568.p1675
ambiguous	1	FS4TVN.p1675
ambiguous	5	HU3LQX.p1675
ambiguous	73	Javan18L-half.p1675
H1N1	26	JN8BNA.p1675
ambiguous	1	L2N2CZ.p1675
ambiguous	1	MRUD6W.p1675
ambiguous	6	NW3NEY.p1675
ambiguous	4	PFGRWE.p1675
H1N1	2	QX3FWL.p1675
H3N6	1	QX3FWL.p1675
H5N2	1	QX3FWL.p1675
ambiguous	1	WH7YMG.p1675
ambiguous	3	WXUZU5.p1675
ambiguous	9	XKMKGH.p1675
ambiguous	3	AE2MWE.p1679
H1N1	15	BHP2HM.p1679
ambiguous	3	BHP2HM.p1679
ambiguous	5	DZZGHB.p1679
ambiguous	1	E7D3NY.p1679
ambiguous	1	EMFG7J.p1679
H1N1	4	F6HLS7.p1679
ambiguous	2	F6HLS7.p1679
ambiguous	1	HBWD8C.p1679
ambiguous	114	Javan18L-half.p1679
ambiguous	4	JZM5UJ.p1679
ambiguous	2	KAB4NR.p1679
ambiguous	1	LPFPCW.p1679
ambiguous	2	MBJMYL.p1679
ambiguous	6	NQN4F4.p1679
ambiguous	1	PEXS9L.p1679
H1N1	21	Q89HNB.p1679
ambiguous	2	Q89HNB.p1679
ambiguous	5	RMR8QL.p1679
ambiguous	8	T85MN8.p1679
ambiguous	1	TDRQV5.p1679
H1N1	4	VZ3SEJ.p1679
ambiguous	5	VZ3SEJ.p1679
ambiguous	4	XDPX2P.p1679
