"WWTP","Date","copiesperL","flow_rate_value"
"69th Street",2021-10-01,35615.9889595656,80.03
"69th Street",2021-10-02,34768.3289570686,80.03
"69th Street",2021-10-03,33918.4828264789,80.03
"69th Street",2021-10-04,33068.2336859,80.03
"69th Street",2021-10-05,32219.2753231801,80.03
"69th Street",2021-10-06,31373.2079430708,80.03
"69th Street",2021-10-07,30531.5363105535,80.03
"69th Street",2021-10-08,29695.6733957284,80.03
"69th Street",2021-10-09,28866.9352471162,80.03
"69th Street",2021-10-10,28046.5436467649,80.03
"69th Street",2021-10-11,27235.6282714667,80.03
"69th Street",2021-10-12,26435.2260245235,80.03
"69th Street",2021-10-13,25646.282866906,80.03
"69th Street",2020-10-12,12293.7539847294,80.03
"69th Street",2020-10-13,12348.1381027994,80.03
"69th Street",2020-10-14,12401.4000681705,80.03
"69th Street",2020-10-15,12453.8115012846,80.03
"69th Street",2020-10-16,12505.6493741775,80.03
"69th Street",2020-10-17,12557.1955664131,80.03
"69th Street",2020-10-18,12608.7370570288,80.03
"69th Street",2022-02-18,11217.6968160681,80.03
"69th Street",2022-02-19,10413.9058749422,80.03
"69th Street",2022-02-20,9694.96550156249,80.03
"69th Street",2022-02-21,9052.55137140483,80.03
"69th Street",2022-02-22,8479.24566466573,80.03
"69th Street",2022-02-23,7968.45947003781,80.03
"69th Street",2022-02-24,7514.35741338623,80.03
"69th Street",2022-02-25,7111.79252040052,80.03
"69th Street",2022-02-26,6756.24621552465,80.03
"69th Street",2022-02-27,6443.77604545013,80.03
"69th Street",2022-02-28,6170.96933104313,80.03
"69th Street",2022-03-01,5934.90467794849,80.03
"69th Street",2021-07-03,21475.0818626516,80.03
"69th Street",2021-07-04,22779.1785127087,80.03
"69th Street",2021-07-05,24177.3912233875,80.03
"69th Street",2021-07-06,25672.8443657737,80.03
"69th Street",2021-07-07,27268.2149017431,80.03
"69th Street",2020-07-06,22812.1462930966,80.03
"69th Street",2020-07-07,21725.8860826277,80.03
"69th Street",2020-07-08,20692.6140729853,80.03
"69th Street",2020-07-09,19710.8883541652,80.03
"69th Street",2020-07-10,18779.1762518341,80.03
"69th Street",2020-07-11,17895.87130838,80.03
"69th Street",2020-07-12,17059.3173377997,80.03
"69th Street",2020-07-13,16267.8222342784,80.03
"69th Street",2020-07-14,15519.6766310563,80.03
"69th Street",2020-07-15,14813.165602806,80.03
"69th Street",2020-07-16,14146.5828712012,80.03
"69th Street",2020-07-17,13518.2407931312,80.03
"69th Street",2020-07-18,12926.4796860588,80.03
"69th Street",2020-07-19,12369.6755375846,80.03
"69th Street",2020-07-20,11846.2471194632,80.03
"69th Street",2020-07-21,11354.6621868411,80.03
"69th Street",2020-07-22,10893.4410618235,80.03
"69th Street",2020-07-23,10461.1610476247,80.03
"69th Street",2020-07-24,10056.4597108126,80.03
"69th Street",2020-07-25,9678.03699793495,80.03
"69th Street",2022-03-27,8751.42263846726,80.03
"69th Street",2022-03-28,9172.08557524991,80.03
"69th Street",2022-03-29,9617.43761854771,80.03
"69th Street",2022-03-30,10087.025251564,80.03
"69th Street",2021-04-02,12720.4486174429,80.03
"69th Street",2021-04-03,12326.7988174551,80.03
"69th Street",2021-04-04,11940.350848116,80.03
"69th Street",2021-04-05,11562.5647563986,80.03
"69th Street",2021-04-06,11194.7131037235,80.03
"69th Street",2021-04-07,10837.8932251134,80.03
"69th Street",2021-04-08,10493.0387825565,80.03
"69th Street",2021-04-09,10160.9332419852,80.03
"69th Street",2021-04-10,9842.22384305496,80.03
"69th Street",2021-04-11,9537.43493152593,80.03
"69th Street",2021-04-12,9246.98297494875,80.03
"69th Street",2021-04-13,8971.18965656004,80.03
"69th Street",2021-04-14,8710.29668674563,80.03
"69th Street",2021-04-15,8464.47814570938,80.03
"69th Street",2021-04-16,8233.853735849,80.03
